level_0,level_1,+,-,0,total,score
10,34,649,341,540,990,65.55555555555556
10,39,648,374,685,1022,63.405088062622305
10,44,612,429,919,1041,58.789625360230545
10,49,666,350,765,1016,65.5511811023622
10,54,814,539,782,1353,60.16260162601627
10,59,812,457,725,1269,63.98739164696612
11,4,813,526,641,1339,60.71695294996265
11,9,795,599,608,1394,57.03012912482066
11,14,672,500,861,1172,57.33788395904437
11,19,664,511,925,1175,56.51063829787234
11,24,599,408,786,1007,59.48361469712016
11,29,683,440,676,1123,60.819234194122885
11,34,728,452,737,1180,61.694915254237294
11,39,742,439,817,1181,62.8281117696867
11,44,631,396,768,1027,61.44109055501461
11,49,671,501,740,1172,57.25255972696246
11,54,673,491,736,1164,57.817869415807564
11,59,726,394,650,1120,64.82142857142857
12,4,632,376,711,1008,62.698412698412696
12,9,614,358,736,972,63.16872427983539
12,14,652,387,766,1039,62.752646775745916
12,19,598,342,813,940,63.61702127659574
12,24,714,387,806,1101,64.85013623978202
12,29,794,416,763,1210,65.6198347107438
12,34,870,437,794,1307,66.56465187452181
12,39,840,528,887,1368,61.40350877192983
12,44,930,622,1023,1552,59.92268041237113
12,49,882,575,1114,1457,60.5353466026081
12,54,859,475,857,1334,64.3928035982009
12,59,944,442,847,1386,68.1096681096681
13,4,931,506,863,1437,64.78775226165622
13,9,828,440,789,1268,65.29968454258676
13,14,797,423,805,1220,65.32786885245902
13,19,777,491,790,1268,61.277602523659304
13,24,707,402,777,1109,63.751127141568986
13,29,721,409,799,1130,63.80530973451327
13,34,726,461,883,1187,61.1625947767481
13,39,680,456,858,1136,59.859154929577464
13,44,703,497,893,1200,58.58333333333333
13,49,718,444,894,1162,61.79001721170396
13,54,626,456,864,1082,57.85582255083179
13,59,671,458,796,1129,59.43312666076174
14,4,705,425,860,1130,62.38938053097345
14,9,1038,432,825,1470,70.61224489795919
14,14,845,477,812,1322,63.918305597579426
14,19,861,463,952,1324,65.03021148036254
14,24,811,367,914,1178,68.84550084889644
14,29,745,404,789,1149,64.83899042645778
14,34,743,351,858,1094,67.91590493601463
14,39,769,358,700,1127,68.23425022182786
14,44,694,410,684,1104,62.86231884057971
14,49,787,474,766,1261,62.41078509119746
14,54,790,402,720,1192,66.2751677852349
14,59,698,426,749,1124,62.09964412811389
15,4,752,386,790,1138,66.08084358523726
15,9,761,404,682,1165,65.32188841201717
15,14,680,393,888,1073,63.37371854613234
15,19,745,362,783,1107,67.29900632339657
15,24,712,322,705,1034,68.8588007736944
15,29,626,363,792,989,63.29625884732053
15,34,697,364,652,1061,65.69274269557022
15,39,660,327,661,987,66.8693009118541
15,44,699,397,752,1096,63.777372262773724
15,49,757,406,872,1163,65.09028374892519
15,54,659,369,831,1028,64.10505836575877
15,59,649,351,870,1000,64.9
16,4,657,374,785,1031,63.72453928225025
16,9,590,356,911,946,62.36786469344609
16,14,699,354,865,1053,66.38176638176638
16,19,721,388,899,1109,65.01352569882776
16,24,802,431,945,1233,65.04460665044607
16,29,888,427,1019,1315,67.52851711026616
16,34,869,380,903,1249,69.57566052842273
16,39,851,446,927,1297,65.6129529683886
16,44,756,396,892,1152,65.625
16,49,737,431,859,1168,63.099315068493155
16,54,744,402,800,1146,64.92146596858639
16,59,735,394,743,1129,65.10186005314438
17,4,752,391,883,1143,65.79177602799649
17,9,802,348,759,1150,69.73913043478261
17,14,830,393,822,1223,67.86590351594441
17,19,740,420,856,1160,63.793103448275865
17,24,709,444,966,1153,61.49176062445794
17,29,821,499,999,1320,62.196969696969695
17,34,877,444,905,1321,66.3890991672975
17,39,718,425,871,1143,62.81714785651793
17,44,706,497,810,1203,58.68661679135495
17,49,745,397,790,1142,65.23642732049036
17,54,660,358,917,1018,64.83300589390963
17,59,747,434,920,1181,63.25148179508891
18,4,743,456,834,1199,61.96830692243537
18,9,748,508,858,1256,59.554140127388536
18,14,823,533,868,1356,60.69321533923304
18,19,858,444,820,1302,65.89861751152074
18,24,784,466,829,1250,62.72
18,29,924,501,836,1425,64.84210526315789
18,34,1021,602,950,1623,62.90819470117067
18,39,912,603,935,1515,60.198019801980195
18,44,871,554,893,1425,61.122807017543856
18,49,908,512,889,1420,63.94366197183099
18,54,909,463,994,1372,66.25364431486881
18,59,845,486,857,1331,63.48610067618332
19,4,883,574,910,1457,60.603980782429645
19,9,887,451,904,1338,66.29297458893872
19,14,884,581,994,1465,60.34129692832765
19,19,863,551,942,1414,61.032531824611034
19,24,893,734,972,1627,54.88629379225568
19,29,1054,815,1012,1869,56.393793472445154
