level_0,level_1,-,+,0,total,score
10,34,455,1054,743,1509,69.84758117958914
10,39,902,1994,1461,2896,68.853591160221
10,44,1382,2946,2136,4328,68.06839186691313
10,49,1846,3879,2744,5725,67.75545851528383
10,54,2318,4787,3392,7105,67.37508796622097
10,59,2802,5675,4156,8477,66.94585348590303
11,4,3277,6598,4807,9875,66.81518987341772
11,9,3742,7621,5471,11363,67.06855583912699
11,14,4274,8813,6365,13087,67.34163673874838
11,19,4855,10060,7446,14915,67.4488769694938
11,24,5445,11392,8549,16837,67.66050959197007
11,29,6119,12806,9615,18925,67.667107001321
11,34,6732,14108,10593,20840,67.69673704414588
11,39,7315,15346,11521,22661,67.71987114425664
11,44,7920,16451,12434,24371,67.50235936153626
11,49,8572,17685,13366,26257,67.35346764672278
11,54,9220,18927,14315,28147,67.24340071766085
11,59,9834,20220,15309,30054,67.27889798362948
12,4,10375,21357,16239,31732,67.30429849993698
12,9,10914,22484,17184,33398,67.32139649080783
12,14,11508,24038,18303,35546,67.6250492319811
12,19,12095,25421,19284,37516,67.76042221985287
12,24,12651,26677,20492,39328,67.83207892595607
12,29,13299,27854,21597,41153,67.68400845624863
12,34,13965,29140,22651,43105,67.60236631481267
12,39,14550,30282,23662,44832,67.54550321199143
12,44,15129,31382,24783,46511,67.47221087484681
12,49,15690,32517,25793,48207,67.45285954321987
12,54,16209,33720,26802,49929,67.53590097939075
12,59,16745,34936,27764,51681,67.5993111588398
13,4,17280,36129,28665,53409,67.64590237600405
13,9,18723,37270,29612,55993,66.56189166502956
13,14,19772,38470,30592,58242,66.05198997287181
13,19,20699,39689,31523,60388,65.72332251440683
13,24,21482,40784,32400,62266,65.49963061703016
13,29,22284,41834,33292,64118,65.2453289247949
13,34,23001,42927,34131,65928,65.11194029850746
13,39,23647,43952,34952,67599,65.01871329457536
13,44,24229,44963,35818,69192,64.98294600531852
13,49,24811,45955,36787,70766,64.93937766724133
13,54,25330,47106,37901,72436,65.03119995582307
13,59,25891,48263,38806,74154,65.08482347546996
14,4,26399,49407,39766,75806,65.1755797694114
14,9,26919,50522,40642,77441,65.23934350021307
14,14,27483,51555,41537,79038,65.22811812039778
14,19,28141,52570,42597,80711,65.1336249086246
14,24,28665,53654,43799,82319,65.17814842259989
14,29,29190,54711,45073,83901,65.208996317088
14,34,29927,56084,47156,86011,65.2056132355164
14,39,30610,57368,48983,87978,65.20721089363249
14,44,31193,58502,50523,89695,65.22325659178327
14,49,31769,59440,51923,91209,65.16900744444078
14,54,32320,60569,53436,92889,65.20578324667076
14,59,32850,61688,54906,94538,65.25206795151156
15,4,33531,63049,56343,96580,65.28163180782771
15,9,34252,64682,57788,98934,65.37893949501688
15,14,35180,66215,59386,101395,65.3040090734257
15,19,36041,67687,61033,103728,65.25431898812279
15,24,36826,68925,62445,105751,65.17668863651409
15,29,37560,70192,63752,107752,65.14217833543692
15,34,38235,71370,64917,109605,65.1156425345559
15,39,38838,72573,66061,111411,65.1398874437892
15,44,39536,73835,67386,113371,65.12688430021787
15,49,40221,75276,68751,115497,65.17571884984025
15,54,40913,76569,70032,117482,65.17509065218502
15,59,41506,77761,71343,119267,65.19909111489348
16,4,42102,79081,72704,121183,65.2575031151234
16,9,42692,80357,74081,123049,65.30487854431975
16,14,43284,81528,75280,124812,65.32064224593789
16,19,43937,82659,76527,126596,65.29353218111157
16,24,44573,83771,77832,128344,65.27067880072306
16,29,45118,84824,79064,129942,65.27835495836604
16,34,45812,85982,80379,131794,65.23969224699152
16,39,46629,87357,81967,133986,65.19860283910259
16,44,47402,88720,83566,136122,65.17682667019291
16,49,48129,89930,85058,138059,65.13881746209954
16,54,48696,91043,86346,139739,65.15217655772547
16,59,49263,92255,87662,141518,65.18958719032209
17,4,49877,93348,88701,143225,65.17577238610578
17,9,50531,94401,90232,144932,65.13468385173736
17,14,51158,95509,91673,146667,65.11962472812561
17,19,51799,96616,93162,148415,65.09854125256881
17,24,52541,97787,94682,150328,65.04909265073705
17,29,53215,98895,96154,152110,65.01544934586812
17,34,53842,99917,97571,153759,64.98286279177154
17,39,54480,100984,98953,155464,64.95651726444707
17,44,55142,102151,100335,157293,64.943131607891
17,49,55741,103345,101676,159086,64.96171881875212
17,54,56356,104487,103143,160843,64.96210590451558
17,59,56914,105651,104541,162565,64.99000399840064
18,4,57515,106849,105916,164364,65.00754423109683
18,9,58117,108139,107271,166256,65.04366759695891
18,14,58758,109418,108557,168176,65.06160213110076
18,19,59335,110553,109865,169888,65.07404878508194
18,24,60044,111651,111196,171695,65.0286845860392
18,29,60894,112983,112694,173877,64.97869183388258
18,34,61794,114493,114593,176287,64.94693312609552
18,39,62571,115861,116419,178432,64.93285957675752
18,44,63326,117227,118057,180553,64.92664203862579
18,49,64160,118746,119620,182906,64.92187243720818
18,54,64915,120204,121200,185119,64.93336718543208
18,59,65641,121619,122806,187260,64.94659831250668
19,4,66259,122910,124306,189169,64.97364790214041
19,9,66964,124260,125756,191224,64.98138308998871
19,14,67633,125678,127447,193311,65.01337223437879
19,19,68486,127195,129240,195681,65.00120093417348
19,24,69285,128861,131091,198146,65.03335924015626
19,29,70033,130481,132837,200514,65.07326171738632
